file,name,domain,wei_score,rps_score,total_vulnerabilities,critical_vulns,high_vulns,medium_vulns,low_vulns,vulnerability_types,layer_scores,vulnerabilities
examples/01_text_processing.yaml,Simple Text Processing,general,0.267,6.331,0,0,0,0,0,[],{},[]
examples/02_calculator_service.yaml,Basic Calculator,general,0.267,6.331,0,0,0,0,0,[],{},[]
examples/03_file_management.yaml,File Copy Service,general,0.267,6.331,0,0,0,0,0,[],{},[]
examples/04_email_templates.yaml,Email Template Builder,general,0.267,6.331,0,0,0,0,0,[],{},[]
examples/05_user_profile_management.yaml,User Profile Management,general,0.178,6.331,0,0,0,0,0,[],{},[]
examples/06_sales_analytics.yaml,Sales Analytics Dashboard,general,0.47,23.658,4,0,4,0,0,"['tool_poisoning', 'prompt_injection']",{},"[{'type': 'prompt_injection', 'step': 'step_1', 'agent': 'AnalyticsAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'tool_poisoning', 'step': 'step_1', 'agent': 'AnalyticsAgent', 'severity': 'high', 'description': 'Tool execution may be vulnerable to poisoning attacks'}, {'type': 'prompt_injection', 'step': 'step_2', 'agent': 'AnalyticsAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'tool_poisoning', 'step': 'step_2', 'agent': 'AnalyticsAgent', 'severity': 'high', 'description': 'Tool execution may be vulnerable to poisoning attacks'}]"
examples/07_customer_support.yaml,Customer Support System,general,0.278,13.254,2,0,2,0,0,['prompt_injection'],{},"[{'type': 'prompt_injection', 'step': 'step_1', 'agent': 'TicketProcessor', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'prompt_injection', 'step': 'step_2', 'agent': 'ResponseGenerator', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}]"
examples/08_content_moderation.yaml,Content Moderation Pipeline,general,0.217,11.053,4,2,2,0,0,"['prompt_injection', 'model_poisoning']",{},"[{'type': 'prompt_injection', 'step': 'step_1', 'agent': 'ModelAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_1', 'agent': 'ModelAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}, {'type': 'prompt_injection', 'step': 'step_2', 'agent': 'ModelAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_2', 'agent': 'ModelAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}]"
examples/09_financial_analysis.yaml,Financial Risk Assessment,general,0.339,30.902,7,2,4,1,0,"['tool_poisoning', 'prompt_injection', 'supply_chain_attack', 'privilege_escalation', 'model_poisoning']",{},"[{'type': 'prompt_injection', 'step': 'step_2', 'agent': 'RiskModelAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_2', 'agent': 'RiskModelAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}, {'type': 'prompt_injection', 'step': 'step_3', 'agent': 'RiskModelAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_3', 'agent': 'RiskModelAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}, {'type': 'tool_poisoning', 'step': 'step_4', 'agent': 'ComplianceAgent', 'severity': 'high', 'description': 'Tool execution may be vulnerable to poisoning attacks'}, {'type': 'privilege_escalation', 'step': 'step_5', 'agent': 'WorkflowAgent', 'severity': 'high', 'description': 'Critical operations may lead to privilege escalation'}, {'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/10_healthcare_diagnostics.yaml,Medical Diagnosis Assistant,general,0.297,18.897,7,2,4,1,0,"['privacy_violation', 'supply_chain_attack', 'prompt_injection', 'model_poisoning']",{},"[{'type': 'prompt_injection', 'step': 'step_1', 'agent': 'DiagnosisModelAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_1', 'agent': 'DiagnosisModelAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}, {'type': 'prompt_injection', 'step': 'step_2', 'agent': 'DiagnosisModelAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_2', 'agent': 'DiagnosisModelAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}, {'type': 'prompt_injection', 'step': 'step_3', 'agent': 'PrivacyAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'privacy_violation', 'step': 'step_3', 'agent': 'PrivacyAgent', 'severity': 'high', 'description': 'Processing of PII and sensitive data poses privacy risks'}, {'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
